id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
1603929385299767297,https://twitter.com/BravoAdhi/status/1603929385299767297,Sat Dec 17 01:45:39 +0000 2022,2022-12-17 01:45:39+00:00,BravoAdhi,@addkali @nirab_argument @Royalkhalasi यो जमातसंग सकिन्न। किन त्यो प्रसंग उठ्यो थाहा भएन। पुरा भिडीयो हेर्न पाइएन। तर के हो भने पुनर्स्थापन हुन सकिने र नसकिने कुरो बुझ्न पनि गार्हो छ। दोस्रो बलत्कार संवेदनशील कुरा हो र जसको माफ या किन्तु परन्तु हुन्न तर जिबनको अन्त्य नै हैन। फेरी जिउन सकिन्छ।,reply,,,,https://twitter.com/i/web/status/1603929385299767297,0,addkali,1603928659131187200,133639521,ne,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",134770040,Mon Apr 19 11:44:59 +0000 2010,False,,46063,2649,1549,8,Bharatpur - Sydney ,PR@MOD,98669,,,False
1603929454698721280,https://twitter.com/only_mukhiyaa2/status/1603929454698721280,Sat Dec 17 01:45:56 +0000 2022,2022-12-17 01:45:56+00:00,only_mukhiyaa2,"@sansa160 चामारे शब्द केहि होइन सामान्य हो,,हामी गाउँमा हुदा ग्रहण लागेको बेलामा छोड चमारे भन्दा केही हुन्थेन अहिले ताल न बेतालका दलित कृसियन्को रोइलो हो,,",reply,,,,https://twitter.com/i/web/status/1603929454698721280,0,sansa160,1603926260249681920,1411626605034622980,ne,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1290955770733854725,Wed Aug 05 10:20:34 +0000 2020,False,"जस्तो अबस्थामा पनि खुसी रहने प्रयत्न गर्छु,मेरो सब्द मन परे फलो  गर्नुस  नपरे बालै फरर!!  १००% फलो ब्याक !अस्लिल लाई सिधै बल्क!https://t.co/tuqQqiGd2k",151524,22683,20653,1,,ओरजिनल मुखिया,132000,,,False
1603929473212370944,https://twitter.com/Bibas_H/status/1603929473212370944,Sat Dec 17 01:46:00 +0000 2022,2022-12-17 01:46:00+00:00,Bibas_H,"केटाकेटी आए गुलेली खेलाए मट्याङ्ग्राको सत्यनाश । 
बलात्कार जस्तो जघन्य अपराधलाई यति घृणित टिप्पणी कसरी गर्न सकेको ? https://t.co/koJRnh1Tge",original,,,https://pbs.twimg.com/ext_tw_video_thumb/1603784247655161856/pu/img/msM5NBQf2s019-KO.jpg,,0,,,,ne,,False,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2800259689,Tue Sep 09 16:51:30 +0000 2014,False,जिन्दगीमा नमरुञ्जेल बाच्ने रहर छ 🤘,15917,9688,348,12,Kathmandu from solukhumbu,Hemanta Ban,64560,,,False
1603929521069387777,https://twitter.com/gaunkomanchhey/status/1603929521069387777,Sat Dec 17 01:46:12 +0000 2022,2022-12-17 01:46:12+00:00,gaunkomanchhey,"मनोवैज्ञानिक, शारीरिक, सामाजिक, आर्थिक संरचनात्मक लाभको आड लिएर गरिने बलत्कारलाई अरु ट्रमाहरुसँग जोडेर सामान्यीकरण गर्न किन हुँदैन? किन बलत्कार र अरु हिंसा एउटै/उस्तै होइन ?

यो अति नै महत्वपूर्ण थ्रेड पढौं।",quote,,,,https://twitter.com/i/web/status/1603929521069387777,0,,,,ne,,,0,1603882308595253248,capsiannum,3180162037,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",268128144,Fri Mar 18 05:48:09 +0000 2011,False,Culture||History||Archeology||Heritage||Nepal,39906,8698,563,16,Gorkha,Yadab Devkota,23249,,,False
1603929568993083392,https://twitter.com/Mo56703115/status/1603929568993083392,Sat Dec 17 01:46:23 +0000 2022,2022-12-17 01:46:23+00:00,Mo56703115,पुति चिलायर हैरान भो भाउजुको https://t.co/ZkP7xl9LbU,retweet,,,https://pbs.twimg.com/ext_tw_video_thumb/1577360301632106496/pu/img/j2arPvPJn6cZxlfK.jpg,,445,,,,ne,,False,0,1577360462294921217,NepaliHunterBoy,1474060140022157312,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1088934657381621760,Fri Jan 25 23:00:28 +0000 2019,False,mo,1031,355,43,2,,Mo,23536,,,False
1603929587163205632,https://twitter.com/NextAngle/status/1603929587163205632,Sat Dec 17 01:46:27 +0000 2022,2022-12-17 01:46:27+00:00,NextAngle,"बलात्कार सहि मानिएको भन्ने भन्दा पनि सोच्ने कोण यस्तो पनि हुन सक्छ भन्ने हो। यौनिक अपराधआई अघन्य शारीरिक हिंसा भन्दा पनि सामाजिक, सास्कृतिक परिवेशका कारण निर्मित मान्सिकताले बिकराल र बीभत्स बन्न गएको छ भन्ने आसय हो यो। यस्तो कुरामा धेरै राजनीति गर्न जरुरी छैन।",quote,,,,https://twitter.com/i/web/status/1603929587163205632,0,,,,ne,,,0,1603780660128550914,sumi_na1,3011976056,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1261115211471192064,Fri May 15 02:05:04 +0000 2020,False,सम्पुर्ण ब्रह्माण्ड अलौकिक शक्ति या चेतनाको उपज नभएर विकसित चेतना समेत भौतिक पदार्थ र त्यसमा अन्तर्निहित गतिको उपज हो ✊ ☭#Marxism_Leninism_Maoism_LongLive☭,7258,4076,3715,1,Don't follow me for unfollow.,✊🙏 𝓝𝓮𝔁𝓽 𝓐𝓷𝓰𝓵𝓮 ☭,11842,,,False
1603929587758469120,https://twitter.com/Talk2_Abby/status/1603929587758469120,Sat Dec 17 01:46:27 +0000 2022,2022-12-17 01:46:27+00:00,Talk2_Abby,@ptkums @mrophiophagus हामी त्यस्ता सेता काला खैरा जस्ता कमन उल्लुलाई उल्लु मान्दैनौ!,reply,,,,,0,ptkums,1603928930423308288,1859560081,ne,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",293047385,Wed May 04 17:28:06 +0000 2011,False,"Attitude कि महारानी, असंस्कारी",30294,3980,555,24,तुमसे दुर,A,46514,,,False
1603929689629904899,https://twitter.com/eemon_ahmed/status/1603929689629904899,Sat Dec 17 01:46:52 +0000 2022,2022-12-17 01:46:52+00:00,eemon_ahmed,मेरो पुति चिक्ने हो? https://t.co/51SLipFk4o,retweet,,,https://pbs.twimg.com/ext_tw_video_thumb/826351926501580800/pu/img/U5FcsUCnrq84kXU_.jpg,,724,,,,ne,,False,0,826352340504567808,raju51112183,4906423949,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1540644933517860864,Sat Jun 25 10:36:04 +0000 2022,False,,3391,39,34,1,,Eemon Ahmed,2326,,,False
1603929751701585920,https://twitter.com/Syangjali_Pk/status/1603929751701585920,Sat Dec 17 01:47:07 +0000 2022,2022-12-17 01:47:07+00:00,Syangjali_Pk,"कसैको इज्जत नगर्ने उनी
सबै बाट इज्जतको
आशा गर्दछन् 
जो अशंभव हुन्छ",retweet,,,,,23,,,,ne,,,0,1603740962508787712,Narayan18697001,4902812532,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",828200879337529344,Sun Feb 05 11:17:31 +0000 2017,False,दुई कुराले तिमिलाई जाँच्दछ : 👉️केही नहुदाको तिम्रो धैर्य र सबैथोक हुदाको तिम्रो प्रवृत्ति ।।🌹🙋‍♂️🙏❤️,541360,73829,56332,3,Nepal पु.ब.न.पा.४ स्याङ्जा🇸🇬,🇳🇵Prakash Poudel🇳🇵(बादल),427946,,,False
1603930055897677825,https://twitter.com/LNeupane/status/1603930055897677825,Sat Dec 17 01:48:19 +0000 2022,2022-12-17 01:48:19+00:00,LNeupane,"बलात्कार सामान्य हो तर खुट्टा कटिनु ठूलै रहेछ । बलात्कृतको शरिर सध्य हुन्छ र बलात्कार हुनु सामान्य हो भन्ने सासंद केहि दिनमा संसद प्रवेश गर्दै छिन। सोच्नुस् कस्तो भविष्य हुने छ बालिकाको? न्यायको मांग गर्नु डलर ल्याउनु रहेछ । 
वहांको सोच यस्तो छ भने के आशा गर्ने 🤬🤬",retweet,,,,,19,,,,ne,,,0,1603849686141571086,MohnaAnsari,1114801549,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",596337413,Fri Jun 01 10:30:20 +0000 2012,False,Human,21287,1525,282,0,Kathmandu,Laxmi Neupane 😷,12280,,,False
